OCCURRENCE_YEAR,OCCURRENCE_DATE,REPORTED_DATE,BiasMotivation,PRIMARY_OFFENCE,NEIGHBOURHOOD_140,ARREST_MADE
2020,2020-02-21,2020-02-25,Religion,Mischief Under $5000,Roncesvalles (86),NO
2020,2020-02-24,2020-02-25,Religion,Mischief Under $5000,Mount Pleasant East (99),NO
2020,2020-02-28,2020-02-28,Sexual Orientation,Uttering Threats - Bodily Harm,Princess-Rosethorn (10),YES
2020,2020-03-02,2020-03-02,Race/Ethnicity,Mischief Under $5000,Downsview-Roding-CFB (26),NO
2020,2020-03-08,2020-03-09,Religion,Mischief Under $5000,Bedford Park-Nortown (39),NO
2020,2020-03-09,2020-03-09,Sexual Orientation,Criminal Harassment,Annex (95),NO
2020,2020-03-09,2020-03-09,Religion,Mischief Under $5000,NSA,NO
2020,2020-03-17,2020-03-17,Race/Ethnicity,Uttering Threats - Bodily Harm,Moss Park (73),NO
2020,2020-03-26,2020-03-27,Ethnicity,Mischief Under $5000,Palmerston-Little Italy (80),NO
2020,2020-03-30,2020-04-01,Religion,Disturbing Religious Worship Or Certain Meetings,Westminster-Branson (35),NO
2020,2020-04-02,2020-04-02,Ethnicity,Mischief Under $5000,Clairlea-Birchmount (120),NO
2020,2020-04-03,2020-04-06,Religion,Disturbing Religious Worship Or Certain Meetings,Humewood-Cedarvale (106),NO
2020,2020-04-04,2020-04-04,Religion,Mischief Under $5000,Willowdale West (37),NO
2020,2020-04-04,2020-04-04,Religion,Mischief Under $5000,Trinity-Bellwoods (81),NO
2020,2020-04-05,2020-04-05,Religion,Mischief Under $5000,Willowdale West (37),NO
2020,2020-04-08,2020-04-09,Race/Ethnicity,Assault With a Weapon,Waterfront Communities-The Island (77),NO
2020,2020-04-08,2020-04-09,Race/Ethnicity,Assault,High Park-Swansea (87),YES
2020,2020-04-19,2020-04-19,Religion,Disturbing Religious Worship Or Certain Meetings,Englemount-Lawrence (32),NO
2020,2020-04-21,2020-04-21,Sexual Orientation,Mischief Under $5000,Greenwood-Coxwell (65),NO
2020,2020-04-22,2020-04-22,Gender,Criminal Harassment,North St.James Town (74),NO
2020,2020-04-23,2020-04-23,Sexual Orientation,Uttering Threats - Bodily Harm,Church-Yonge Corridor (75),NO
2020,2020-04-25,2020-04-25,Ethnicity,Assault,South Riverdale (70),NO
2020,2020-04-25,2020-04-25,Gender,Criminal Harassment,East End-Danforth (62),NO
2020,2020-05-01,2020-05-04,Religion,Disturbing Religious Worship Or Certain Meetings,Oakwood Village (107),NO
2020,2020-05-05,2020-05-05,Religion,Disturbing Religious Worship Or Certain Meetings,Bathurst Manor (34),NO
2020,2020-05-07,2020-05-07,Ethnicity,Assault,Stonegate-Queensway (16),YES
2020,2020-05-10,2020-05-12,Race/Ethnicity,Harassing Communications,Glenfield-Jane Heights (25),NO
2020,2020-05-15,2020-05-19,Race/Ethnicity,Disturbing Religious Worship Or Certain Meetings,Danforth East York (59),NO
2020,2020-05-16,2020-05-16,Sexual Orientation,Criminal Harassment,Waterfront Communities-The Island (77),YES
2020,2020-05-16,2020-05-16,Religion,Uttering Threats - Property,Blake-Jones (69),NO
2020,2020-05-18,2020-05-18,Race/Ethnicity,Disturbing Religious Worship Or Certain Meetings,Willowdale East (51),NO
2020,2020-05-21,2020-05-21,Race/Ethnicity,Assault,Kensington-Chinatown (78),YES
2020,2020-05-22,2020-05-22,Sexual Orientation,Mischief Under $5000,Church-Yonge Corridor (75),YES
2020,2020-05-23,2020-05-25,Race/Ethnicity,Criminal Harassment,Centennial Scarborough (133),YES
2020,2020-05-25,2020-05-25,Race/Ethnicity,Mischief Under $5000,Willowdale East (51),NO
2020,2020-05-25,2020-05-25,Ethnicity,Assault,Bay Street Corridor (76),NO
2020,2020-05-26,2020-05-26,Religion,Mischief Under $5000,Clanton Park (33),NO
2020,2020-05-26,2020-05-27,Ethnicity,Mischief Under $5000,Church-Yonge Corridor (75),YES
2020,2020-05-26,2020-06-01,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Bay Street Corridor (76),NO
2020,2020-05-29,2020-06-03,Race/Ethnicity,Mischief Under $5000,Bathurst Manor (34),YES
2020,2020-05-30,2020-05-30,Religion,Mischief Under $5000,University (79),NO
2020,2020-05-30,2020-05-31,Religion,Mischief Under $5000,Kensington-Chinatown (78),NO
2020,2020-05-30,2020-06-01,Race/Ethnicity,Mischief Under $5000,Bathurst Manor (34),NO
2020,2020-06-01,2020-09-03,Sexual Orientation,Criminal Harassment,Waterfront Communities-The Island (77),YES
2020,2020-06-01,2020-06-01,Race/Ethnicity,Mischief Under $5000,NSA,NO
2020,2020-06-02,2020-06-02,Race/Ethnicity,Mischief Under $5000,West Humber-Clairville (1),NO
2020,2020-06-02,2020-06-03,Race/Ethnicity,Mischief Under $5000,Willowdale East (51),NO
2020,2020-06-03,2020-06-03,Sexual Orientation,Criminal Harassment,Dovercourt-Wallace Emerson-Junction (93),NO
2020,2020-06-05,2020-06-08,Religion,Mischief Under $5000,Lawrence Park North (105),NO
2020,2020-06-06,2020-06-06,Religion,Mischief Interfere With Property,University (79),NO
2020,2020-06-06,2020-06-06,Race/Ethnicity,Assault,Wexford/Maryvale (119),YES
2020,2020-06-09,2020-06-10,Race/Ethnicity,Mischief Interfere With Property,Danforth East York (59),YES
2020,2020-06-11,2020-06-11,Race/Ethnicity,Mischief Interfere With Property,York University Heights (27),NO
2020,2020-06-13,2020-06-15,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Bay Street Corridor (76),NO
2020,2020-06-16,2020-06-16,Religion,Assault,Moss Park (73),NO
2020,2020-06-16,2020-06-16,Ethnicity,Assault,Waterfront Communities-The Island (77),YES
2020,2020-06-18,2020-06-18,Race/Ethnicity,Assault,Church-Yonge Corridor (75),YES
2020,2020-06-19,2020-06-19,Ethnicity,Assault With a Weapon,Moss Park (73),YES
2020,2020-06-20,2020-06-20,Race/Ethnicity,Mischief Interfere With Property,Eringate-Centennial-West Deane (11),NO
2020,2020-06-21,2020-06-21,Race/Ethnicity,Wilful Promotion of Hatred,High Park North (88),NO
2020,2020-06-26,2020-06-27,Race/Ethnicity,Mischief Under $5000,Regent Park (72),NO
2020,2020-06-26,2020-06-26,Ethnicity,Mischief Under $5000,Bedford Park-Nortown (39),NO
2020,2020-06-26,2020-06-26,Race/Ethnicity,Criminal Harassment,Playter Estates-Danforth (67),YES
2020,2020-06-28,2020-06-28,Race/Ethnicity,Mischief Under $5000,Long Branch (19),NO
2020,2020-06-28,2020-06-28,Race/Ethnicity,Assault,North Riverdale (68),YES
2020,2020-06-28,2020-06-30,Religion,Mischief Under $5000,O'Connor-Parkview (54),NO
2020,2020-06-30,2020-06-30,Ethnicity,Assault,Moss Park (73),YES
2020,2020-07-02,2020-07-02,Race/Ethnicity,Assault With a Weapon,Kensington-Chinatown (78),YES
2020,2020-07-03,2020-07-03,Ethnicity,Assault,Kensington-Chinatown (78),YES
2020,2020-07-06,2020-07-06,Sexual Orientation,Criminal Harassment,Cabbagetown-South St.James Town (71),NO
2020,2020-07-06,2020-07-06,Religion,Uttering Threats - Bodily Harm,St.Andrew-Windfields (40),NO
2020,2020-07-10,2020-07-10,Race/Ethnicity,Mischief Under $5000,Bay Street Corridor (76),NO
2020,2020-07-16,2020-07-17,Religion,Mischief Under $5000,Tam O'Shanter-Sullivan (118),NO
2020,2020-07-17,2020-07-17,Race/Ethnicity,Assault,Annex (95),YES
2020,2020-07-17,2020-07-17,Race/Ethnicity,Mischief Under $5000,Tam O'Shanter-Sullivan (118),NO
2020,2020-07-18,2020-07-18,Race/Ethnicity,Assault,L'Amoreaux (117),NO
2020,2020-07-19,2020-07-19,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2020,2020-07-20,2020-07-20,Sexual Orientation,Uttering Threats - Bodily Harm,The Beaches (63),NO
2020,2020-07-22,2020-07-22,Ethnicity,Assault,Kennedy Park (124),YES
2020,2020-07-22,2020-07-22,Religion,Wilful Promotion of Hatred,Mimico (includes Humber Bay Shores) (17),NO
2020,2020-07-23,2020-07-27,Race/Ethnicity,Harassing Communications,York University Heights (27),NO
2020,2020-07-23,2020-07-23,Race/Ethnicity,Disturbing Religious Worship Or Certain Meetings,High Park North (88),NO
2020,2020-07-27,2020-08-07,Race/Ethnicity,Assault With a Weapon,Yonge-Eglinton (100),NO
2020,2020-07-30,2020-07-30,Religion,Mischief Under $5000,York University Heights (27),NO
2020,2020-07-30,2020-08-03,Religion,Mischief Under $5000,Mimico (includes Humber Bay Shores) (17),NO
2020,2020-07-31,2020-07-31,Gender,Criminal Harassment,North St.James Town (74),NO
2020,2020-07-31,2020-08-02,Religion,Uttering Threats - Property,Bedford Park-Nortown (39),NO
2020,2020-08-01,2020-08-28,Religion,Mischief Under $5000,Highland Creek (134),NO
2020,2020-08-06,2020-08-20,Religion,Uttering Threats - Bodily Harm,York University Heights (27),NO
2020,2020-08-07,2020-08-07,Religion,Mischief Under $5000,Bay Street Corridor (76),NO
2020,2020-08-11,2020-08-13,Religion,Mischief Over $5000,Willowdale East (51),NO
2020,2020-08-11,2020-08-14,Race/Ethnicity,Uttering Threats - Bodily Harm,Bay Street Corridor (76),NO
2020,2020-08-12,2020-08-12,Religion,Mischief Under $5000,North Riverdale (68),NO
2020,2020-08-12,2020-08-14,Race/Ethnicity,Uttering Threats - Bodily Harm,Downsview-Roding-CFB (26),NO
2020,2020-08-13,2020-08-14,Ethnicity,Mischief Under $5000,O'Connor-Parkview (54),NO
2020,2020-08-13,2020-08-14,Race/Ethnicity,Mischief To Data,Downsview-Roding-CFB (26),NO
2020,2020-08-15,2020-08-15,Religion,Mischief Under $5000,Church-Yonge Corridor (75),NO
2020,2020-08-16,2020-08-16,Ethnicity,Assault,Stonegate-Queensway (16),YES
2020,2020-08-18,2020-08-20,Religion,Mischief Under $5000,Church-Yonge Corridor (75),NO
2020,2020-08-19,2020-08-20,Religion,Uttering Threats - Bodily Harm,York University Heights (27),NO
2020,2020-08-20,2020-08-21,Ethnicity,Mischief Under $5000,South Riverdale (70),NO
2020,2020-08-23,2020-08-23,Language,Assault,Waterfront Communities-The Island (77),YES
2020,2020-08-24,2020-08-24,Race/Ethnicity,Mischief Under $5000,West Humber-Clairville (1),NO
2020,2020-08-24,2020-08-24,Race/Ethnicity,Mischief Under $5000,Markland Wood (12),NO
2020,2020-08-24,2020-08-24,Sexual Orientation,Mischief Under $5000,Rockcliffe-Smythe (111),NO
2020,2020-08-25,2020-08-25,Religion,Assault,New Toronto (18),NO
2020,2020-08-27,2020-08-27,Race/Ethnicity,Assault With a Weapon,Playter Estates-Danforth (67),YES
2020,2020-08-30,2020-08-31,Religion,Mischief Under $5000,South Parkdale (85),NO
2020,2020-08-31,2020-08-31,Ethnicity,Assault,Mimico (includes Humber Bay Shores) (17),NO
2020,2020-08-31,2020-08-31,Race/Ethnicity,Assault,NSA,YES
2020,2020-09-03,2020-09-03,Religion,Mischief Under $5000,Islington-City Centre West (14),NO
2020,2020-09-03,2020-09-03,Ethnicity,Assault,Long Branch (19),NO
2020,2020-09-05,2020-09-07,Ethnicity,Assault,Mimico (includes Humber Bay Shores) (17),NO
2020,2020-09-08,2020-09-10,Religion,Wilful Promotion of Hatred,York University Heights (27),NO
2020,2020-09-08,2021-01-19,Sexual Orientation,Criminal Harassment,Islington-City Centre West (14),NO
2020,2020-09-08,2020-10-11,Sexual Orientation,Criminal Harassment,Humewood-Cedarvale (106),YES
2020,2020-09-09,2020-09-09,Race/Ethnicity,Assault,Moss Park (73),YES
2020,2020-09-09,2020-09-10,Ethnicity,Mischief Under $5000,Malvern (132),NO
2020,2020-09-09,2020-09-12,Religion,Mischief Under $5000,Downsview-Roding-CFB (26),NO
2020,2020-09-10,2020-09-10,Race/Ethnicity,Assault,Long Branch (19),NO
2020,2020-09-11,2020-09-11,Religion,Assault,Mimico (includes Humber Bay Shores) (17),YES
2020,2020-09-11,2020-09-11,Religion,Mischief Under $5000,South Parkdale (85),NO
2020,2020-09-13,2020-09-13,Race/Ethnicity,Mischief Under $5000,O'Connor-Parkview (54),NO
2020,2020-09-14,2020-09-14,Religion,Mischief Under $5000,Greenwood-Coxwell (65),NO
2020,2020-09-17,2020-09-17,Religion,Mischief Under $5000,Casa Loma (96),NO
2020,2020-09-17,2020-10-01,Race/Ethnicity,Assault,Church-Yonge Corridor (75),NO
2020,2020-09-20,2020-09-20,Ethnicity,Assault,Cabbagetown-South St.James Town (71),NO
2020,2020-09-23,2020-09-23,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Casa Loma (96),NO
2020,2020-09-25,2020-09-25,Gender,Assault,Junction Area (90),NO
2020,2020-09-29,2020-09-29,Ethnicity,Assault With a Weapon,West Hill (136),YES
2020,2020-09-29,2020-09-30,Race/Ethnicity,Mischief Interfere With Property,Highland Creek (134),NO
2020,2020-09-30,2020-09-30,Ethnicity,Assault,Willowdale West (37),NO
2020,2020-09-30,2020-10-02,Sexual Orientation,Criminal Harassment,The Beaches (63),NO
2020,2020-10-02,2020-10-08,Religion,Mischief Under $5000,Playter Estates-Danforth (67),NO
2020,2020-10-03,2020-10-04,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2020,2020-10-05,2020-10-05,Race/Ethnicity,Mischief Under $5000,Danforth East York (59),NO
2020,2020-10-09,2020-10-09,Race/Ethnicity,Mischief Under $5000,Willowdale West (37),NO
2020,2020-10-11,2020-10-11,Ethnicity,Mischief Under $5000,Willowdale East (51),NO
2020,2020-10-12,2020-10-12,Race/Ethnicity,Mischief Under $5000,Bay Street Corridor (76),NO
2020,2020-10-13,2020-10-15,Ethnicity,Assault With a Weapon,Leaside-Bennington (56),NO
2020,2020-10-14,2020-10-15,Race/Ethnicity,Mischief Under $5000,Danforth East York (59),NO
2020,2020-10-15,2020-10-19,Sexual Orientation,Assault,Thorncliffe Park (55),NO
2020,2020-10-15,2020-10-15,Religion,Mischief Under $5000,Markland Wood (12),NO
2020,2020-10-15,2020-10-15,Race/Ethnicity,Mischief Under $5000,Weston-Pelham Park (91),NO
2020,2020-10-15,2020-10-19,Race/Ethnicity,Uttering Threats - Bodily Harm,Church-Yonge Corridor (75),YES
2020,2020-10-17,2020-10-17,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2020,2020-10-17,2020-10-17,Ethnicity,Criminal Harassment,L'Amoreaux (117),YES
2020,2020-10-21,2020-10-21,Race/Ethnicity,Mischief Under $5000,Danforth East York (59),NO
2020,2020-10-25,2020-10-29,Disability,Wilful Promotion of Hatred,Yorkdale-Glen Park (31),NO
2020,2020-10-25,2020-10-25,Race/Ethnicity,Mischief Under $5000,Broadview North (57),NO
2020,2020-10-25,2020-10-25,Religion,Mischief Under $5000,St.Andrew-Windfields (40),NO
2020,2020-10-26,2020-10-27,Religion,Mischief Under $5000,St.Andrew-Windfields (40),NO
2020,2020-10-26,2020-10-28,Sexual Orientation,Mischief Under $5000,Wychwood (94),YES
2020,2020-10-27,2020-10-28,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Palmerston-Little Italy (80),NO
2020,2020-10-28,2020-11-09,Religion,Assault,Lawrence Park North (105),NO
2020,2020-10-29,2020-10-29,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2020,2020-10-31,2020-10-31,Race/Ethnicity,Mischief Under $5000,Highland Creek (134),NO
2020,2020-11-02,2020-11-02,Religion,Mischief Under $5000,Stonegate-Queensway (16),NO
2020,2020-11-03,2020-11-05,Religion,Criminal Harassment,Broadview North (57),NO
2020,2020-11-03,2020-11-04,Race/Ethnicity,Harassing Communications,O'Connor-Parkview (54),NO
2020,2020-11-05,2020-11-05,Race/Ethnicity,Assault,Yonge-St.Clair (97),NO
2020,2020-11-06,2020-11-06,Race/Ethnicity,Mischief Under $5000,North St.James Town (74),NO
2020,2020-11-07,2020-11-07,Ethnicity,Assault,Agincourt South-Malvern West (128),NO
2020,2020-11-10,2020-11-11,Race/Ethnicity,Mischief Under $5000,East End-Danforth (62),NO
2020,2020-11-11,2020-11-12,Sexual Orientation,Criminal Harassment,Blake-Jones (69),NO
2020,2020-11-11,2020-11-11,Religion,Mischief Under $5000,St.Andrew-Windfields (40),NO
2020,2020-11-12,2020-11-12,Race/Ethnicity,Uttering Threats - Bodily Harm,Bay Street Corridor (76),YES
2020,2020-11-14,2020-11-14,Religion,Assault,NSA,NO
2020,2020-11-16,2020-11-18,Race/Ethnicity,Disturbing Religious Worship Or Certain Meetings,High Park North (88),NO
2020,2020-11-23,2020-11-29,Ethnicity,Assault,Greenwood-Coxwell (65),YES
2020,2020-11-25,2020-11-25,Religion,Mischief Under $5000,Birchcliffe-Cliffside (122),NO
2020,2020-11-25,2020-11-25,Religion,Assault Peace Officer,Church-Yonge Corridor (75),YES
2020,2020-11-27,2020-11-27,Religion,Assault,Cliffcrest (123),NO
2020,2020-11-28,2020-11-28,Race/Ethnicity,Mischief Under $5000,New Toronto (18),NO
2020,2020-12-01,2020-12-01,Ethnicity,Assault With a Weapon,Waterfront Communities-The Island (77),YES
2020,2020-12-04,2020-12-05,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Annex (95),YES
2020,2020-12-07,2020-12-07,Religion,Mischief Under $5000,Willowdale East (51),NO
2020,2020-12-08,2020-12-09,Race/Ethnicity,Mischief Under $5000,O'Connor-Parkview (54),NO
2020,2020-12-11,2020-12-11,Race/Ethnicity,Uttering Threats - Bodily Harm,Moss Park (73),YES
2020,2020-12-13,2020-12-14,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Annex (95),YES
2020,2020-12-17,2020-12-18,Religion,Harassing Communications,Downsview-Roding-CFB (26),NO
2020,2020-12-18,2020-12-18,Race/Ethnicity,Mischief Under $5000,O'Connor-Parkview (54),NO
2020,2020-12-19,2020-12-22,Religion,Mischief Under $5000,Niagara (82),NO
2020,2020-12-21,2020-12-22,Religion,Mischief Under $5000,St.Andrew-Windfields (40),NO
2020,2020-12-22,2020-12-22,Religion,Mischief Under $5000,St.Andrew-Windfields (40),NO
2020,2020-12-22,2020-12-28,Religion,Uttering Threats - Bodily Harm,Cabbagetown-South St.James Town (71),NO
2020,2020-12-23,2020-12-23,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Annex (95),YES
2020,2020-12-23,2020-12-24,Religion,Mischief Interfere With Property,Wexford/Maryvale (119),NO
2021,2021-01-01,2021-01-17,Race/Ethnicity,Mischief Under $5000,York University Heights (27),NO
2021,2021-01-01,2021-11-02,Gender,Criminal Harassment,West Hill (136),NO
2021,2021-01-02,2021-01-02,Race/Ethnicity,Mischief Under $5000,Mount Pleasant West (104),NO
2021,2021-01-04,2021-01-05,Religion,Disturbing Religious Worship Or Certain Meetings,Bathurst Manor (34),NO
2021,2021-01-12,2021-01-12,Race/Ethnicity,Assault,Briar Hill-Belgravia (108),NO
2021,2021-01-13,2021-01-13,Race/Ethnicity,Assault,L'Amoreaux (117),NO
2021,2021-01-17,2021-01-17,Race/Ethnicity,Assault,Church-Yonge Corridor (75),NO
2021,2021-01-22,2021-01-22,Religion,Mischief Under $5000,Willowdale East (51),NO
2021,2021-01-24,2021-01-27,Religion,"Mischief To Religious Property, Educational Institutions, Etc.",Bay Street Corridor (76),NO
2021,2021-01-26,2021-01-27,Race/Ethnicity,Mischief Under $5000,North St.James Town (74),NO
2021,2021-01-27,2021-01-27,Ethnicity,Uttering Threats - Bodily Harm,Church-Yonge Corridor (75),YES
2021,2021-01-28,2021-01-28,Religion,Mischief Under $5000,Birchcliffe-Cliffside (122),NO
2021,2021-01-28,2021-01-28,Race/Ethnicity,Other Criminal Code Offence Not Listed,Willowdale West (37),NO
2021,2021-01-28,2021-01-28,Religion,Mischief Under $5000,Morningside (135),NO
2021,2021-02-02,2021-02-02,Religion,Assault,Bay Street Corridor (76),NO
2021,2021-02-06,2021-02-16,Race/Ethnicity,Disturbing Religious Worship Or Certain Meetings,Woodbine-Lumsden (60),NO
2021,2021-02-10,2021-02-10,Race/Ethnicity,Assault,North St.James Town (74),NO
2021,2021-02-15,2021-02-15,Religion,Mischief Under $5000,Parkwoods-Donalda (45),NO
2021,2021-02-16,2021-02-24,Religion,Uttering Threats - Bodily Harm,Stonegate-Queensway (16),NO
2021,2021-02-16,2021-02-17,Race/Ethnicity,Uttering Threats - Bodily Harm,Morningside (135),YES
2021,2021-02-16,2021-02-16,Race/Ethnicity,Uttering Threats - Bodily Harm,Scarborough Village (139),YES
2021,2021-02-20,2021-02-21,Race/Ethnicity,Mischief Under $5000,Islington-City Centre West (14),NO
2021,2021-02-22,2021-02-22,Sexual Orientation,Uttering Threats - Bodily Harm,Willowdale West (37),YES
2021,2021-02-23,2021-02-25,Race/Ethnicity,Mischief Under $5000,Moss Park (73),NO
2021,2021-02-24,2021-02-24,Race/Ethnicity,Assault With a Weapon,Bay Street Corridor (76),NO
2021,2021-02-25,2021-02-25,Race/Ethnicity,Uttering Threats - Bodily Harm,Newtonbrook East (50),NO
2021,2021-02-26,2021-02-27,Ethnicity,Assault,Rustic (28),YES
2021,2021-02-27,2021-02-27,Religion,Assault With a Weapon,Waterfront Communities-The Island (77),YES
2021,2021-02-28,2021-02-28,Race/Ethnicity,Assault,Steeles (116),NO
2021,2021-03-01,2021-08-18,Race/Ethnicity,Uttering Threats - Bodily Harm,Annex (95),YES
2021,2021-03-01,2021-03-18,Religion,Mischief Under $5000,West Humber-Clairville (1),NO
2021,2021-03-02,2021-03-03,Race/Ethnicity,Mischief Under $5000,Victoria Village (43),NO
2021,2021-03-02,2021-03-03,Race/Ethnicity,Uttering Threats - Bodily Harm,Humber Heights-Westmount (8),NO
2021,2021-03-07,2021-03-08,Religion,Mischief Under $5000,Blake-Jones (69),NO
2021,2021-03-08,2021-03-08,Race/Ethnicity,Mischief Under $5000,Bathurst Manor (34),NO
2021,2021-03-10,2021-03-10,Race/Ethnicity,Mischief Under $5000,New Toronto (18),NO
2021,2021-03-10,2021-03-11,Race/Ethnicity,Mischief Interfere With Property,Mount Pleasant East (99),YES
2021,2021-03-11,2021-03-11,Religion,Assault,Malvern (132),YES
2021,2021-03-12,2021-03-12,Race/Ethnicity,Assault,Waterfront Communities-The Island (77),NO
2021,2021-03-13,2021-03-13,Ethnicity,Harassing Communications,Dovercourt-Wallace Emerson-Junction (93),NO
2021,2021-03-14,2021-03-15,Religion,Mischief Under $5000,Cabbagetown-South St.James Town (71),NO
2021,2021-03-14,2021-03-14,Religion,Mischief Interfere With Property,St.Andrew-Windfields (40),NO
2021,2021-03-15,2021-03-17,Sexual Orientation,Mischief Under $5000,Clanton Park (33),NO
2021,2021-03-18,2021-03-18,Race/Ethnicity,Wilful Promotion of Hatred,Danforth (66),NO
2021,2021-03-19,2021-03-26,Religion,Uttering Threats - Bodily Harm,Keelesdale-Eglinton West (110),YES
2021,2021-03-20,2021-04-13,Race/Ethnicity,Assault,Dovercourt-Wallace Emerson-Junction (93),YES
2021,2021-03-20,2021-03-22,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2021,2021-03-22,2021-03-22,Religion,Uttering Threats - Bodily Harm,Niagara (82),NO
2021,2021-03-22,2021-03-22,Race/Ethnicity,Mischief Under $5000,Milliken (130),NO
2021,2021-03-23,2021-03-23,Race/Ethnicity,Mischief Under $5000,Moss Park (73),NO
2021,2021-03-23,2021-03-23,Sexual Orientation,Uttering Threats - Bodily Harm,Woburn (137),NO
2021,2021-03-25,2021-03-25,Ethnicity,Mischief Under $5000,Milliken (130),NO
2021,2021-03-25,2021-03-25,Religion,Mischief Under $5000,St.Andrew-Windfields (40),NO
2021,2021-03-25,2021-03-25,Race/Ethnicity,Mischief Under $5000,Church-Yonge Corridor (75),NO
2021,2021-03-25,2021-03-25,Race/Ethnicity,Uttering Threats - Bodily Harm,Dovercourt-Wallace Emerson-Junction (93),NO
2021,2021-03-25,2021-03-25,Ethnicity,Criminal Harassment,Wychwood (94),NO
2021,2021-03-25,2021-03-25,Race/Ethnicity,Assault,Bay Street Corridor (76),NO
2021,2021-03-26,2021-03-27,Race/Ethnicity,Mischief Under $5000,Agincourt North (129),NO
2021,2021-03-26,2021-04-02,Religion,Sexual Assault,York University Heights (27),NO
2021,2021-03-27,2021-03-28,Race/Ethnicity,Mischief Under $5000,Islington-City Centre West (14),NO
2021,2021-03-29,2021-03-29,Religion,Assault,Rouge (131),YES
2021,2021-03-30,2021-03-30,Race/Ethnicity,Assault,Mimico (includes Humber Bay Shores) (17),YES
2021,2021-03-30,2021-03-30,Religion,Assault,St.Andrew-Windfields (40),NO
2021,2021-03-31,2021-03-31,Race/Ethnicity,Uttering Threats - Bodily Harm,Bay Street Corridor (76),YES
2021,2021-03-31,2021-03-31,Race/Ethnicity,Mischief Under $5000,West Hill (136),YES
2021,2021-03-31,2021-03-31,Race/Ethnicity,Uttering Threats - Bodily Harm,Kensington-Chinatown (78),NO
2021,2021-04-01,2021-04-01,Race/Ethnicity,Mischief Under $5000,Danforth East York (59),NO
2021,2021-04-01,2021-04-01,Ethnicity,Assault,Dorset Park (126),YES
2021,2021-04-03,2021-04-05,Race/Ethnicity,Mischief Interfere With Property,Waterfront Communities-The Island (77),NO
2021,2021-04-05,2021-04-05,Sexual Orientation,Mischief Under $5000,Rockcliffe-Smythe (111),NO
2021,2021-04-06,2021-04-06,Gender,Mischief Under $5000,Forest Hill South (101),NO
2021,2021-04-09,2021-04-09,Race/Ethnicity,Assault With a Weapon,Bridle Path-Sunnybrook-York Mills (41),NO
2021,2021-04-09,2021-04-09,Race/Ethnicity,Uttering Threats - Bodily Harm,Long Branch (19),NO
2021,2021-04-09,2021-04-12,Gender,Assault,Annex (95),YES
2021,2021-04-11,2021-04-11,Race/Ethnicity,Uttering Threats - Bodily Harm,Roncesvalles (86),NO
2021,2021-04-11,2021-04-11,Race/Ethnicity,Assault,Taylor-Massey (61),NO
2021,2021-04-11,2021-04-13,Race/Ethnicity,Assault,Church-Yonge Corridor (75),YES
2021,2021-04-11,2021-04-11,Race/Ethnicity,Assault With a Weapon,Bay Street Corridor (76),YES
2021,2021-04-15,2021-10-19,Gender,Assault With a Weapon,Henry Farm (53),NO
2021,2021-04-19,2021-04-19,Race/Ethnicity,Assault,North St.James Town (74),YES
2021,2021-04-22,2021-04-26,Religion,Mischief Under $5000,The Beaches (63),NO
2021,2021-04-27,2021-04-27,Gender,Criminal Harassment,Weston-Pelham Park (91),NO
2021,2021-04-28,2021-05-20,Religion,Mischief Under $5000,Mimico (includes Humber Bay Shores) (17),NO
2021,2021-04-29,2021-04-29,Race/Ethnicity,Mischief Under $5000,York University Heights (27),NO
2021,2021-04-30,2021-04-30,Religion,Mischief Under $5000,Waterfront Communities-The Island (77),NO
2021,2021-04-30,2021-05-24,Ethnicity,Mischief Under $5000,Bedford Park-Nortown (39),NO
2021,2021-05-01,2021-05-03,Race/Ethnicity,Mischief Interfere With Property,Church-Yonge Corridor (75),NO
2021,2021-05-02,2021-05-03,Religion,Uttering Threats - Bodily Harm,Hillcrest Village (48),NO
2021,2021-05-05,2021-05-05,Religion,Mischief Under $5000,NSA,NO
2021,2021-05-05,2021-05-05,Race/Ethnicity,Assault,Church-Yonge Corridor (75),YES
2021,2021-05-10,2021-05-10,Race/Ethnicity,Assault,Mount Pleasant West (104),YES
2021,2021-05-10,2021-05-11,Race/Ethnicity,Mischief Under $5000,Weston (113),NO
2021,2021-05-11,2021-05-11,Race/Ethnicity,Mischief Under $5000,Greenwood-Coxwell (65),NO
2021,2021-05-11,2021-05-11,Religion,Uttering Threats - Bodily Harm,Kingsview Village-The Westway (6),NO
2021,2021-05-11,2021-05-11,Race/Ethnicity,Mischief Under $5000,Regent Park (72),NO
2021,2021-05-14,2021-05-14,Religion,Harassing Communications,Clanton Park (33),NO
